La	O
quiero	O
con	O
mayonesa	O
,	O
sin	O
kétchup	O
y	O
con	O
mostaza	O
.	O

Dejale	O
el	O
tomate	O
,	O
pero	O
sacale	O
la	O
lechuga	O
y	O
la	O
carne	O
.	O

Dejale	O
el	O
oregano	O
,	O
pero	O
reemplazame	O
la	O
cebolla	O
por	O
la	O
gaseosa	O
.	O

Y	O
agrandame	O
las	O
papas	O
y	O
cambiámelas	O
por	O
un	O
cono	O
de	O
vainilla	O
.	O

Y	O
si	O
no	O
tenés	O
de	O
vainilla	O
ponele	O
kétchup	O
a	O
la	O
comida	O
y	O
agrandame	O
el	O
menú	O
por	O
50	O
centavos	O
.	O

Pero	O
no	O
le	O
pongas	O
condimentos	O
al	O
helado	O
porque	O
vengo	O
del	O
cine	O
y	O
ella	O
se	O
llama	O
Valentina	O
.	O

Yo	O
quiero	O
una	O
empanada	O
de	O
roquefort	O
y	O
apio	O
,	O
también	O
quiero	O
una	O
pizza	O
de	O
roquefort	O
porque	O
me	O
gusta	O
mucho	O
el	O
roquefort	O
.	O

Para	O
tomar	O
te	O
voy	O
a	O
pedir	O
una	O
gaseosa	O
.	O

José	O
va	O
a	O
ordernar	O
una	O
pizza	O
grande	O
de	O
jamón	O
.	O

Yo	O
quiero	O
una	O
pizza	O
de	O
tomate	O
y	O
morrones	O
.	O

Para	O
tomar	O
te	O
pido	O
una	O
coca	O
de	O
litro	O
y	O
medio	O
.	O

José	O
va	O
a	O
querer	O
una	O
pizza	O
grande	O
de	O
muzarella	O
.	O

Luciana	O
quiere	O
una	O
hamburguesa	O
de	O
portobellos	O
con	O
queso	O
.	O

Ella	O
quiere	O
además	O
unas	O
papas	O
fritas	O
y	O
una	O
ensalada	O
de	O
rúcula	O
para	O
acompañar	O
.	O

Para	O
beber	O
ella	O
quiere	O
una	O
fanta	O
.	O

Yo	O
quiero	O
una	O
pizza	O
de	O
muzarella	O
,	O
con	O
tomates	O
y	O
albahaca	O
.	O

También	O
quiero	O
dos	O
empanadas	O
de	O
acelga	O
y	O
una	O
de	O
cebolla	O
y	O
queso	O
.	O

Te	O
voy	O
a	O
pedir	O
también	O
una	O
empanada	O
de	O
carne	O
picante	O
y	O
otra	O
de	O
carne	O
común	O
.	O

Agregame	O
una	O
empanada	O
más	O
de	O
carne	O
cortada	O
a	O
cuchillo	O
.	O

Jorgito	O
va	O
a	O
comer	O
tres	O
empanadas	O
,	O
dos	O
de	O
muzarella	O
y	O
una	O
de	O
jamón	O
y	O
queso	O
.	O

Pedrito	O
quiere	O
una	O
empanada	O
de	O
atún	O
,	O
dos	O
empanadas	O
de	O
choclo	O
,	O
tres	O
empanadas	O
de	O
cebolla	O
y	O
queso	O
.	O

David	O
quiere	O
una	O
ensalada	O
de	O
lechuga	O
,	O
tomate	O
y	O
palta	O
.	O

También	O
te	O
va	O
a	O
pedir	O
un	O
chorizo	O
.	O

Carlos	O
quiere	O
una	O
hamburguesa	O
con	O
jamón	O
y	O
queso	O
,	O
sin	O
tomate	O
.	O

Juanita	O
quiere	O
una	O
hamburguesa	O
con	O
barbacoa	O
,	O
y	O
un	O
helado	O
.	O

Juan	O
quiere	O
también	O
una	O
gaseosa	O
de	O
pomelo	O
.	O

Yo	O
te	O
voy	O
a	O
pedir	O
un	O
sandwich	O
de	O
tomate	O
solo	O
.	O

Quiero	O
una	O
pizza	O
.	O

Elijo	O
una	O
gaseosa	O
.	O

Voy	O
a	O
querer	O
una	O
hamburguesa	O
.	O

Voy	O
a	O
pedir	O
dos	O
empanadas	O
.	O

Voy	O
a	O
pedir O
te	O
tres	O
hamburguesas	O
.	O

Deseo	O
un	O
brownie	O
con	O
helado	O
.	O

Tengo	O
ganas	O
de	O
comer	O
tres	O
empanadas	O
de	O
carne	O
.	O

Quisiera	O
una	O
pizza	O
.	O

A	O
mí	O
dame	O
dos	O
hamburguesas	O
con	O
papas	O
.	O

Para	O
Luciana	O
te	O
pido	O
una	O
hamburguesa	O
de	O
lechuga	O
y	O
tomate	O
.	O

Yo	O
voy	O
a	O
querer	O
dos	O
empanadas	O
de	O
atún	O
.	O

Para	O
mí	O
una	O
pizza	O
de	O
muzarella	O
.	O

Dame	O
una	O
empanada	O
de	O
choclo	O
.	O

Por	O
favor	O
,	O
una	O
empanada	O
de	O
queso	O
y	O
cebolla	O
.	O

Yo	O
quiero	O
una	O
hamburguesa	O
con	O
roquefort	O
y	O
cebolla	O
caramelizada	O
.	O

Te	O
encargo	O
dos	O
hamburguesas	O
con	O
panceta	O
y	O
queso	O
.	O

Te	O
pido	O
una	O
hamburguesa	O
con	O
jamón	O
y	O
