La	O
quiero	ORDER
con	ORDER_ADD
mayonesa	O
,	O
sin	ORDER_REMOVE
kétchup	O
y	O
con	ORDER_ADD
mostaza	O
.	O

Deja	ORDER_ADD
le	O
el	O
tomate	O
,	O
pero	O
saca	ORDER_REMOVE
le	O
la	O
lechuga	O
y	ORDER_REMOVE
la	O
carne	O
.	O

Deja	ORDER_ADD
le	O
el	O
oregano	O
,	O
pero	O
reemplaza	ORDER_REMOVE
me	O
la	O
cebolla	O
por	ORDER_ADD
la	O
gaseosa	O
.	O

Y	O
agrandame	ORDER_MUTATE
las	O
papas	O
y	O
cambiámelas	ORDER_REMOVE
por	ORDER_ADD
un	O
cono	O
de	O
vainilla	O
.	O

Y	O
si	O
no	O
tenés	O
de	O
vainilla	O
ponele	ORDER_ADD
kétchup	O
a	O
la	O
comida	O
y	O
agrandame	ORDER_MUTATE
el	O
menú	O
por	O
50	O
centavos	O
.	O

Pero	O
no	O
le	O
pongas	ORDER_ADD
condimentos	O
al	O
helado	O
porque	O
vengo	O
del	O
cine	O
y	O
ella	O
se	O
llama	O
Valentina	O
.	O

Yo	O
quiero	ORDER
una	O
empanada	O
de	O
roquefort	O
y	ORDER_ADD
apio	O
,	O
también	O
quiero	ORDER
una	O
pizza	O
de	ORDER_ADD
roquefort	O
porque	O
me	O
gusta	O
mucho	O
el	O
roquefort	O
.	O

Para	O
tomar	O
te	O
voy	O
a	O
pedir	ORDER_ADD
una	O
gaseosa	O
.	O

José	O
va	O
a	O
ordernar	ORDER
una	O
pizza	O
grande	O
de	O
jamón	O
.	O

Yo	O
quiero	ORDER
una	O
pizza	O
de	ORDER_ADD
tomate	O
y	ORDER_ADD
morrones	O
.	O

Para	O
tomar	O
te	O
pido	ORDER_ADD
una	O
coca	O
de	O
litro	O
y	O
medio	O
.	O

José	O
va	O
a	O
querer	ORDER
una	O
pizza	O
grande	O
de	ORDER_ADD
muzarella	O
.	O

Luciana	O
quiere	ORDER
una	O
hamburguesa	O
de	ORDER_ADD
portobellos	O
con	ORDER_ADD
queso	O
.	O

Ella	O
quiere	ORDER_ADD
además	O
unas	O
papas	O
fritas	O
y	ORDER
una	O
ensalada	O
